Tempo_Decorrido_S,System_Total_CPU_Percent,System_Used_Memory_GB
481.16,5.3,5.9
481.66,4.7,5.9
482.16,8.5,5.9
482.66,1.7,5.9
483.16,2.0,5.91
483.66,1.0,5.91
484.16,10.7,5.91
484.66,8.5,5.92
485.16,10.3,5.91
485.66,2.5,5.91
486.16,4.3,5.91
486.66,14.7,5.92
487.16,8.3,5.92
487.66,9.6,5.92
488.17,6.5,5.92
488.67,4.5,5.92
489.17,3.0,5.92
489.67,12.5,5.92
490.17,2.3,5.92
490.67,3.0,5.92
491.17,2.2,5.91
491.67,2.3,5.91
492.17,3.0,5.91
492.67,6.0,5.92
493.17,4.8,5.92
493.67,2.0,5.92
494.17,5.5,5.92
494.68,7.3,5.92
495.18,5.8,5.92
495.68,6.5,5.92
496.18,4.2,5.92
496.68,12.3,5.92
497.18,11.5,5.92
497.68,9.0,5.92
498.18,3.2,5.92
498.68,4.5,5.92
499.18,8.0,5.92
499.68,2.5,5.92
500.18,5.5,5.92
500.68,11.2,5.92
501.18,9.5,5.94
501.68,4.3,5.93
502.19,0.7,5.93
502.69,9.5,5.92
503.19,6.8,5.92
503.69,8.8,5.94
504.19,29.5,5.94
504.69,13.0,5.94
505.19,7.1,5.93
505.69,11.1,5.94
506.19,9.3,5.94
506.69,12.6,5.94
507.19,7.0,5.94
507.69,14.4,5.94
508.19,14.5,5.95
508.69,5.0,5.94
509.2,7.1,5.94
509.7,7.0,5.95
510.2,0.7,5.95
510.7,9.5,5.95
511.2,6.5,5.95
511.7,27.5,5.95
512.2,1.0,5.93
512.7,2.0,5.94
513.2,0.2,5.94
513.7,0.5,5.94
514.2,0.5,5.94
514.7,3.5,5.87
515.2,1.2,5.87
515.71,10.3,5.88
516.21,13.7,5.87
516.71,43.8,6.02
517.21,34.8,5.98
517.71,10.1,5.98
518.21,10.5,5.98
518.71,2.5,5.98
519.21,5.8,5.98
519.71,3.5,5.98
520.21,14.1,5.98
520.71,2.5,5.98
521.21,4.3,5.97
521.71,4.0,5.98
522.22,14.3,6.0
522.72,12.7,6.0
523.22,12.1,6.0
523.72,29.9,5.99
524.22,1.7,5.98
524.72,0.5,5.98
525.22,5.5,5.98
525.72,8.5,5.98
526.22,11.6,5.99
526.72,7.3,5.99
527.22,8.6,5.99
527.72,11.8,5.99
528.22,4.0,5.99
528.72,1.0,5.99
529.23,1.0,5.99
529.73,0.5,5.99
530.23,1.8,5.99
530.73,5.5,5.99
531.23,8.5,5.98
531.73,2.8,5.98
532.23,8.3,5.98
532.73,12.7,5.98
533.23,9.0,5.98
533.73,4.3,5.98
534.23,4.5,5.98
534.73,15.7,5.99
535.23,11.4,5.99
535.73,4.8,5.99
536.24,2.5,5.98
536.74,4.3,5.98
537.24,1.3,5.98
537.74,14.5,5.98
538.24,13.5,6.0
538.74,4.3,6.0
539.24,6.2,6.0
539.74,5.5,5.99
540.24,15.6,5.99
540.74,13.8,5.99
541.24,8.8,6.0
541.74,5.0,6.0
542.24,3.8,6.0
542.74,5.8,5.98
543.24,14.6,5.99
543.74,3.5,5.99
544.25,4.0,5.99
544.75,14.7,5.99
545.25,14.6,6.0
545.75,24.7,5.99
546.25,0.7,5.99
546.75,2.2,5.99
547.25,2.3,5.97
547.75,0.3,5.96
548.25,7.3,5.97
548.75,2.8,5.97
549.25,13.9,5.97
549.75,3.0,5.96
550.26,2.0,5.96
550.76,3.5,5.96
551.26,5.5,5.97
551.76,13.8,5.97
552.26,10.2,5.97
552.76,5.5,5.97
553.26,6.3,5.96
553.76,9.8,5.96
554.26,7.3,5.97
554.76,3.3,5.97
555.26,9.0,5.97
555.76,4.3,5.96
556.26,1.8,5.96
556.76,4.5,5.96
557.27,8.7,5.96
557.77,3.8,5.96
558.27,6.0,5.97
558.77,3.3,5.97
559.27,9.0,5.96
559.77,10.5,5.96
560.27,6.3,5.96
560.77,0.5,5.96
561.27,12.5,5.96
561.77,9.5,5.96
562.27,5.8,5.96
562.77,4.8,5.96
563.27,6.5,5.95
563.77,14.5,5.96
564.28,5.5,5.96
564.78,8.3,5.96
565.28,4.5,5.95
565.78,1.5,5.95
566.28,12.2,5.96
566.78,9.3,5.96
567.28,14.4,5.96
567.78,6.8,5.96
568.28,9.7,5.96
568.78,0.5,5.96
569.28,1.5,5.96
569.78,2.0,5.96
570.28,12.0,5.96
570.78,0.5,5.96
571.29,8.5,5.96
571.79,6.0,5.96
572.29,3.0,5.97
572.79,7.8,5.97
573.29,10.0,5.96
573.79,6.0,5.96
574.29,6.0,5.96
